category_id,name,threshold,tp,fp,fn,recall,fdr,precision
0,HM,0.348537356,2,0,0,1.000000,0.000000,1.000000
1,LQS,0.00188686815,8,150,0,1.000000,0.949367,0.050633
2,QHS,0.00998581946,88,38,30,0.745763,0.301587,0.698413
3,MS,0.0174246859,243,118,95,0.718935,0.326870,0.673130
4,A1_SU-35,0.854384005,165,11,10,0.942857,0.062500,0.937500
5,A2_C-130,0.554479778,183,1,3,0.983871,0.005435,0.994565
6,A3_C-17,0.469661117,178,3,0,1.000000,0.016575,0.983425
7,A4_C-5,0.424196422,79,5,2,0.975309,0.059524,0.940476
8,A5_F-16,0.451967984,127,10,5,0.962121,0.072993,0.927007
9,A6_TU-160,0.927510798,72,0,0,1.000000,0.000000,1.000000
10,A7_E-3,0.927627504,67,0,0,1.000000,0.000000,1.000000
11,A8_B-52,0.33063519,91,2,0,1.000000,0.021505,0.978495
12,A9_P-3C,0.791748285,73,0,2,0.973333,0.000000,1.000000
13,A10_B-1B,0.987444103,109,0,0,1.000000,0.000000,1.000000
14,A11_E-8,0.186482817,58,7,6,0.906250,0.107692,0.892308
15,A12_TU-22,0.69058013,98,1,0,1.000000,0.010101,0.989899
16,A13_F-15,0.586889446,157,8,8,0.951515,0.048485,0.951515
17,A14_KC-135,0.936379254,198,8,15,0.929577,0.038835,0.961165
18,A15_F-22,0.362753332,38,0,4,0.904762,0.000000,1.000000
19,A16_FA-18,0.145738885,231,9,4,0.982979,0.037500,0.962500
20,A17_TU-95,0.877446949,166,0,0,1.000000,0.000000,1.000000
21,A18_KC-10,0.038396392,50,3,1,0.980392,0.056604,0.943396
22,A19_SU-34,0.141620845,160,15,8,0.952381,0.085714,0.914286
23,A20_SU-24,0.0739553422,101,2,2,0.980583,0.019417,0.980583
24,FSC,0.0403826572,30,5,4,0.882353,0.142857,0.857143
