category_id,name,threshold,tp,fp,fn,recall,fdr,precision
0,HM,0.348537356,2,0,0,1.000000,0.000000,1.000000
1,LQS,0.00188686815,8,150,0,1.000000,0.949367,0.050633
2,QHS,0.111803882,72,16,46,0.610169,0.181818,0.818182
3,MS,0.63070184,211,39,127,0.624260,0.156000,0.844000
4,A1_SU-35,0.916260242,163,8,12,0.931429,0.046784,0.953216
5,A2_C-130,0.554479778,183,1,3,0.983871,0.005435,0.994565
6,A3_C-17,0.608399272,176,1,2,0.988764,0.005650,0.994350
7,A4_C-5,0.948387384,76,1,5,0.938272,0.012987,0.987013
8,A5_F-16,0.684350193,123,4,9,0.931818,0.031496,0.968504
9,A6_TU-160,0.927510798,72,0,0,1.000000,0.000000,1.000000
10,A7_E-3,0.927627504,67,0,0,1.000000,0.000000,1.000000
11,A8_B-52,0.449079037,90,1,1,0.989011,0.010989,0.989011
12,A9_P-3C,0.791748285,73,0,2,0.973333,0.000000,1.000000
13,A10_B-1B,0.987444103,109,0,0,1.000000,0.000000,1.000000
14,A11_E-8,0.513543129,54,2,10,0.843750,0.035714,0.964286
15,A12_TU-22,0.923137844,97,0,1,0.989796,0.000000,1.000000
16,A13_F-15,0.692133725,155,5,10,0.939394,0.031250,0.968750
17,A14_KC-135,0.991411686,193,3,20,0.906103,0.015306,0.984694
18,A15_F-22,0.362753332,38,0,4,0.904762,0.000000,1.000000
19,A16_FA-18,0.353890508,228,4,7,0.970213,0.017241,0.982759
20,A17_TU-95,0.877446949,166,0,0,1.000000,0.000000,1.000000
21,A18_KC-10,0.0569941141,48,1,3,0.941176,0.020408,0.979592
22,A19_SU-34,0.230707154,157,11,11,0.934524,0.065476,0.934524
23,A20_SU-24,0.672795415,99,0,4,0.961165,0.000000,1.000000
24,FSC,0.0403826572,30,5,4,0.882353,0.142857,0.857143
